NEWID,FAM_SIZE,NUM_AUTO,FINCBTXM,TOTEXP,ALCBEV,FOOD,FDHOME,FDMAP,FDAWAY,MAJAPP,TENTRM,EDUCA,ELCTRC
4378034,4,1,93220.0,69652.9996,0.0,12740.0,8580.0,0.0,4160.0,0.0,0.0,0.0,1800.0
4378044,1,1,15786.0,14744.0,0.0,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,840.0
4378144,2,1,15000.0,21040.0004,0.0,4568.0,3640.0,928.0,928.0,0.0,0.0,0.0,2500.0
4378174,5,1,141000.0,60795.0004,360.0,6220.0,5200.0,0.0,1020.0,0.0,0.0,0.0,1628.0
4378194,1,1,20178.0,21528.0,0.0,5928.0,4888.0,0.0,1040.0,0.0,0.0,0.0,1204.0
4378264,4,0,243189.0,78225.6976,480.0,19040.0,16880.0,0.0,2160.0,0.0,0.0,5496.0,2756.0
4378284,3,2,41964.0,32394.0,0.0,7280.0,4680.0,0.0,2600.0,0.0,0.0,0.0,1364.0
4378294,1,1,53731.0,22313.0,204.0,3588.0,3588.0,0.0,0.0,0.0,0.0,0.0,1064.0
4378314,5,0,46200.0,34740.0004,240.0,10660.0,9100.0,0.0,1560.0,0.0,0.0,0.0,1232.0
4378364,2,0,40510.0,27222.0004,420.0,6520.0,3640.0,0.0,2880.0,0.0,0.0,0.0,796.0
4378374,3,0,41948.0,41419.0,0.0,9100.0,9100.0,0.0,0.0,0.0,0.0,0.0,1392.0
4378414,4,1,31172.4,54840.0,240.0,10688.0,7268.0,0.0,3420.0,0.0,0.0,0.0,3600.0
4378464,1,1,141000.0,30770.0,0.0,4680.0,3640.0,0.0,1040.0,0.0,0.0,0.0,1280.0
4378474,1,1,14982.0,25216.0,0.0,7280.0,3380.0,0.0,3900.0,0.0,0.0,0.0,0.0
4378504,3,1,48772.0,34753.1996,300.0,6344.0,3120.0,0.0,3224.0,0.0,0.0,0.0,1440.0
4378564,4,1,311413.8,110949.2,1200.0,15580.0,12812.0,0.0,2768.0,0.0,0.0,0.0,3948.0
4378604,2,1,74592.0,22668.0,0.0,6500.0,6500.0,0.0,0.0,0.0,0.0,0.0,2584.0
4378614,4,2,64482.0,163360.0,360.0,7280.0,5980.0,0.0,1300.0,0.0,0.0,956.0,948.0
4378634,1,1,91273.7,41992.0,0.0,5460.0,5460.0,0.0,0.0,0.0,0.0,0.0,2032.0
4378664,4,0,16282.6,14556.0,0.0,780.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0
4378674,2,2,45468.2,59838.5972,0.0,7540.0,5720.0,0.0,1820.0,2996.0,0.0,0.0,3396.0
4378724,2,0,31629.6,64056.4208,120.0,6760.0,5200.0,0.0,1560.0,0.0,0.0,0.0,2100.0
4378734,1,0,19282.0,15312.9996,0.0,4848.0,3136.0,0.0,1712.0,252.0,0.0,0.0,0.0
4378774,1,0,90000.0,89165.4208,4320.0,6760.0,6760.0,0.0,0.0,0.0,0.0,3600.0,1200.0
4378804,6,0,67000.0,36266.0004,480.0,14976.0,14976.0,0.0,0.0,0.0,0.0,0.0,960.0
4378814,3,1,37905.0,24046.0,120.0,4576.0,3900.0,0.0,676.0,0.0,0.0,0.0,308.0
4378874,2,0,129822.8,100815.8204,912.0,6160.0,5224.0,0.0,936.0,0.0,0.0,0.0,2520.0
4378914,8,2,227138.6,79212.2,0.0,19756.0,16640.0,0.0,3116.0,0.0,0.0,0.0,4360.0
4378984,1,1,13666.0,13616.0,120.0,1716.0,1716.0,0.0,0.0,0.0,0.0,0.0,1196.0
4379034,6,0,3820.0,35776.0,0.0,9100.0,9100.0,0.0,0.0,0.0,0.0,0.0,1920.0
4379084,3,0,193000.0,67969.0004,0.0,5200.0,3900.0,0.0,1300.0,0.0,0.0,0.0,1800.0
